Frecuency R,Frecuency G,Frecuency B,Class
176.00,258.00,144.00,morado
174.00,264.00,144.00,morado
174.00,256.00,143.00,morado
174.00,263.00,144.00,morado
174.00,257.00,143.00,morado
174.00,263.00,143.00,morado
174.00,256.00,143.00,morado
174.00,262.00,143.00,morado
168.00,257.00,143.00,morado
174.00,263.00,143.00,morado
174.00,263.00,137.00,morado
168.00,257.00,143.00,morado
174.00,263.00,143.00,morado
174.00,262.00,143.00,morado
173.00,263.00,137.00,morado
168.00,257.00,143.00,morado
174.00,263.00,144.00,morado
174.00,263.00,143.00,morado
174.00,257.00,143.00,morado
174.00,257.00,143.00,morado
174.00,256.00,143.00,morado
174.00,262.00,143.00,morado
174.00,256.00,143.00,morado
174.00,263.00,143.00,morado
174.00,257.00,144.00,morado
174.00,263.00,143.00,morado
168.00,263.00,144.00,morado
174.00,257.00,143.00,morado
174.00,263.00,144.00,morado
168.00,263.00,144.00,morado
173.00,256.00,143.00,morado
173.00,263.00,137.00,morado
168.00,257.00,143.00,morado
174.00,262.00,143.00,morado
173.00,261.00,142.00,morado
173.00,254.00,142.00,morado
172.00,261.00,142.00,morado
167.00,261.00,142.00,morado
172.00,261.00,142.00,morado
173.00,255.00,142.00,morado
172.00,261.00,142.00,morado
172.00,261.00,142.00,morado
172.00,261.00,141.00,morado
166.00,260.00,142.00,morado
173.00,261.00,142.00,morado
173.00,261.00,142.00,morado
173.00,261.00,136.00,morado
167.00,261.00,142.00,morado
172.00,255.00,142.00,morado
173.00,261.00,136.00,morado
33.00,126.00,116.00,naranja
33.00,125.00,122.00,naranja
33.00,126.00,123.00,naranja
32.00,119.00,122.00,naranja
32.00,125.00,122.00,naranja
31.00,125.00,122.00,naranja
32.00,125.00,122.00,naranja
33.00,125.00,116.00,naranja
32.00,125.00,116.00,naranja
32.00,125.00,122.00,naranja
32.00,124.00,121.00,naranja
32.00,124.00,122.00,naranja
32.00,125.00,121.00,naranja
33.00,125.00,122.00,naranja
21.00,125.00,121.00,naranja
32.00,124.00,115.00,naranja
32.00,124.00,121.00,naranja
32.00,125.00,122.00,naranja
32.00,118.00,121.00,naranja
32.00,125.00,121.00,naranja
26.00,125.00,121.00,naranja
32.00,125.00,116.00,naranja
32.00,125.00,122.00,naranja
32.00,124.00,122.00,naranja
32.00,125.00,122.00,naranja
32.00,125.00,121.00,naranja
32.00,125.00,121.00,naranja
33.00,119.00,121.00,naranja
32.00,125.00,122.00,naranja
32.00,125.00,122.00,naranja
27.00,125.00,116.00,naranja
32.00,125.00,121.00,naranja
32.00,119.00,121.00,naranja
33.00,125.00,122.00,naranja
33.00,125.00,122.00,naranja
32.00,125.00,116.00,naranja
33.00,125.00,122.00,naranja
33.00,125.00,122.00,naranja
32.00,125.00,122.00,naranja
32.00,125.00,122.00,naranja
33.00,125.00,122.00,naranja
33.00,126.00,122.00,naranja
33.00,125.00,122.00,naranja
33.00,119.00,122.00,naranja
33.00,126.00,122.00,naranja
32.00,126.00,122.00,naranja
32.00,125.00,122.00,naranja
32.00,125.00,122.00,naranja
33.00,119.00,122.00,naranja
33.00,125.00,122.00,naranja
