Frecuency R,Frecuency G,Frecuency B,Class
305.00,408.00,251.00,morado
303.00,406.00,245.00,morado
303.00,402.00,251.00,morado
304.00,402.00,251.00,morado
296.00,411.00,249.00,morado
211.00,284.00,155.00,morado
211.00,284.00,161.00,morado
212.00,285.00,162.00,morado
211.00,285.00,161.00,morado
211.00,285.00,161.00,morado
213.00,211.00,119.00,morado
158.00,244.00,128.00,morado
193.00,314.00,164.00,morado
282.00,400.00,236.00,morado
283.00,406.00,246.00,morado
292.00,405.00,238.00,morado
291.00,411.00,244.00,morado
144.00,195.00,103.00,morado
129.00,186.00,99.00,morado
129.00,192.00,98.00,morado
128.00,192.00,98.00,morado
170.00,246.00,131.00,morado
170.00,258.00,142.00,morado
235.00,333.00,188.00,morado
206.00,282.00,158.00,morado
159.00,231.00,122.00,morado
222.00,727.00,317.00,morado
221.00,299.00,170.00,morado
192.00,262.00,145.00,morado
146.00,217.00,108.00,morado
159.00,270.00,147.00,morado
290.00,340.00,186.00,morado
158.00,196.00,97.00,morado
185.00,254.00,137.00,morado
179.00,252.00,139.00,morado
243.00,342.00,196.00,morado
132.00,262.00,136.00,morado
192.00,326.00,188.00,morado
134.00,195.00,105.00,morado
196.00,316.00,163.00,morado
227.00,313.00,158.00,morado
157.00,246.00,153.00,morado
199.00,256.00,132.00,morado
143.00,196.00,102.00,morado
201.00,291.00,160.00,morado
177.00,235.00,112.00,morado
152.00,200.00,105.00,morado
138.00,200.00,105.00,morado
222.00,316.00,177.00,morado
209.00,287.00,156.00,morado
25.00,96.00,98.00,naranja
25.00,90.00,97.00,naranja
25.00,96.00,92.00,naranja
25.00,91.00,98.00,naranja
25.00,97.00,92.00,naranja
25.00,90.00,98.00,naranja
43.00,150.00,150.00,naranja
42.00,150.00,144.00,naranja
42.00,144.00,151.00,naranja
42.00,149.00,151.00,naranja
42.00,149.00,151.00,naranja
42.00,150.00,150.00,naranja
61.00,203.00,202.00,naranja
62.00,203.00,202.00,naranja
63.00,203.00,201.00,naranja
61.00,203.00,196.00,naranja
61.00,203.00,201.00,naranja
71.00,247.00,243.00,naranja
78.00,242.00,243.00,naranja
79.00,241.00,237.00,naranja
78.00,247.00,243.00,naranja
79.00,246.00,243.00,naranja
79.00,247.00,242.00,naranja
40.00,150.00,155.00,naranja
44.00,149.00,152.00,naranja
58.00,122.00,223.00,naranja
34.00,127.00,121.00,naranja
41.00,138.00,138.00,naranja
44.00,144.00,151.00,naranja
32.00,115.00,117.00,naranja
32.00,115.00,117.00,naranja
31.00,109.00,117.00,naranja
31.00,115.00,117.00,naranja
31.00,118.00,143.00,naranja
38.00,136.00,136.00,naranja
86.00,267.00,254.00,naranja
86.00,264.00,258.00,naranja
86.00,262.00,254.00,naranja
86.00,263.00,257.00,naranja
85.00,263.00,256.00,naranja
85.00,262.00,256.00,naranja
85.00,256.00,256.00,naranja
85.00,263.00,256.00,naranja
85.00,258.00,250.00,naranja
32.00,132.00,131.00,naranja
35.00,127.00,128.00,naranja
35.00,127.00,122.00,naranja
35.00,127.00,128.00,naranja
54.00,177.00,182.00,naranja
54.00,182.00,181.00,naranja
